DATE,RHEACBW027SBOG
2013-05-01,497.2533
2013-05-08,496.2403
2013-05-15,495.2593
2013-05-22,494.2503
2013-05-29,493.4794
2013-06-05,492.7461
2013-06-12,492.0722
2013-06-19,491.6649
2013-06-26,490.6393
2013-07-03,489.9839
2013-07-10,489.5135
2013-07-17,488.6371
2013-07-24,487.6473
2013-07-31,486.5817
2013-08-07,486.5117
2013-08-14,486.5259
2013-08-21,486.5744
2013-08-28,485.5089
2013-09-04,484.8324
2013-09-11,483.9676
2013-09-18,483.3886
2013-09-25,482.5013
2013-10-02,481.4278
2013-10-09,481.1352
2013-10-16,480.3574
2013-10-23,479.7028
2013-10-30,479.6212
2013-11-06,478.5009
2013-11-13,477.1611
2013-11-20,475.9409
2013-11-27,474.9399
2013-12-04,474.8541
2013-12-11,474.569
2013-12-18,473.8577
2013-12-25,473.356
2014-01-01,472.9494
2014-01-08,472.192
2014-01-15,471.5508
2014-01-22,470.928
2014-01-29,470.2898
2014-02-05,469.8683
2014-02-12,469.5088
2014-02-19,469.0664
2014-02-26,468.7517
2014-03-05,470.0377
2014-03-12,469.6818
2014-03-19,469.1703
2014-03-26,468.7397
2014-04-02,468.2966
2014-04-09,468.2392
2014-04-16,468.207
2014-04-23,467.6543
2014-04-30,467.3008
2014-05-07,466.9625
2014-05-14,466.8391
2014-05-21,466.6972
2014-05-28,466.1129
2014-06-04,465.969
2014-06-11,465.6698
2014-06-18,465.575
2014-06-25,465.049
2014-07-02,464.8283
2014-07-09,464.3575
2014-07-16,464.2628
2014-07-23,463.8407
2014-07-30,463.5503
2014-08-06,462.8026
2014-08-13,462.281
2014-08-20,462.2162
2014-08-27,461.5319
2014-09-03,461.2445
2014-09-10,460.6748
2014-09-17,460.474
2014-09-24,460.2115
2014-10-01,460.4346
2014-10-08,460.2577
2014-10-15,460.251
2014-10-22,460.2895
2014-10-29,459.9763
2014-11-05,459.769
2014-11-12,459.4851
2014-11-19,459.2707
2014-11-26,458.8692
2014-12-03,459.0003
2014-12-10,458.8592
2014-12-17,458.4963
2014-12-24,457.9296
2014-12-31,457.9016
2015-01-07,457.9682
2015-01-14,457.1893
2015-01-21,457.2149
2015-01-28,457.0581
2015-02-04,456.7822
2015-02-11,456.3903
2015-02-18,455.7638
2015-02-25,457.1522
2015-03-04,456.8111
2015-03-11,456.3594
